season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Kel'el Ware,,,,11.0,,,,249.0,,,,,,,,,,,,0.569,18.1,,,basketball-reference
2025-26,Regular Season,,Stephen Curry,,,,8.0,,,,249.0,,,,,,,,,,,,0.626,33.2,,,basketball-reference
2025-26,Regular Season,,Nikola Jović,,,,11.0,,,,248.0,,,,,,,,,,,,0.57,19.7,,,basketball-reference
2025-26,Regular Season,,Aaron Wiggins,,,,9.0,,,,248.0,,,,,,,,,,,,0.578,21.6,,,basketball-reference
2025-26,Regular Season,,Norman Powell,,,,8.0,,,,248.0,,,,,,,,,,,,0.644,28.2,,,basketball-reference
2025-26,Regular Season,,Donovan Clingan,,,,10.0,,,,247.0,,,,,,,,,,,,0.56,12.2,,,basketball-reference
2025-26,Regular Season,,Bam Adebayo,,,,8.0,,,,243.0,,,,,,,,,,,,0.569,26.3,,,basketball-reference
2025-26,Regular Season,,Cameron Johnson,,,,9.0,,,,239.0,,,,,,,,,,,,0.479,14.1,,,basketball-reference
2025-26,Regular Season,,Isaac Okoro,,,,10.0,,,,238.0,,,,,,,,,,,,0.559,14.7,,,basketball-reference
2025-26,Regular Season,,Domantas Sabonis,,,,7.0,,,,238.0,,,,,,,,,,,,0.537,21.0,,,basketball-reference
2025-26,Regular Season,,Collin Sexton,,,,9.0,,,,237.0,,,,,,,,,,,,0.643,24.4,,,basketball-reference
2025-26,Regular Season,,Jarrett Allen,,,,9.0,,,,236.0,,,,,,,,,,,,0.632,20.7,,,basketball-reference
2025-26,Regular Season,,Aaron Gordon,,,,8.0,,,,236.0,,,,,,,,,,,,0.705,22.7,,,basketball-reference
2025-26,Regular Season,,Keldon Johnson,,,,10.0,,,,235.0,,,,,,,,,,,,0.678,17.3,,,basketball-reference
2025-26,Regular Season,,Noah Clowney,,,,10.0,,,,234.0,,,,,,,,,,,,0.471,17.9,,,basketball-reference
2025-26,Regular Season,,D'Angelo Russell,,,,11.0,,,,232.0,,,,,,,,,,,,0.492,26.9,,,basketball-reference
