season,season_type,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,source
2025-26,Regular Season,,Svi Mykhailiuk,,,,8.0,,,,226.0,,,,,,,,,,,,0.601,12.6,,,basketball-reference
2025-26,Regular Season,,Cam Thomas,,,,8.0,,,,226.0,,,,,,,,,,,,0.546,31.7,,,basketball-reference
2025-26,Regular Season,,Ryan Dunn,,,,9.0,,,,225.0,,,,,,,,,,,,0.577,16.0,,,basketball-reference
2025-26,Regular Season,,Nikola Vučević,,,,7.0,,,,224.0,,,,,,,,,,,,0.693,20.6,,,basketball-reference
2025-26,Regular Season,,Kentavious Caldwell-Pope,,,,9.0,,,,223.0,,,,,,,,,,,,0.457,18.6,,,basketball-reference
2025-26,Regular Season,,Collin Gillespie,,,,9.0,,,,223.0,,,,,,,,,,,,0.554,17.9,,,basketball-reference
2025-26,Regular Season,,Terance Mann,,,,8.0,,,,223.0,,,,,,,,,,,,0.62,15.4,,,basketball-reference
2025-26,Regular Season,,Alex Sarr,,,,8.0,,,,223.0,,,,,,,,,,,,0.613,26.8,,,basketball-reference
2025-26,Regular Season,,Ausar Thompson,,,,8.0,,,,223.0,,,,,,,,,,,,0.519,21.5,,,basketball-reference
2025-26,Regular Season,,Luguentz Dort,,,,7.0,,,,223.0,,,,,,,,,,,,0.428,12.3,,,basketball-reference
2025-26,Regular Season,,Jalen Johnson,,,,7.0,,,,223.0,,,,,,,,,,,,0.634,24.7,,,basketball-reference
2025-26,Regular Season,,Santi Aldama,,,,9.0,,,,222.0,,,,,,,,,,,,0.5,21.4,,,basketball-reference
2025-26,Regular Season,,Christian Braun,,,,7.0,,,,221.0,,,,,,,,,,,,0.559,16.3,,,basketball-reference
2025-26,Regular Season,,Ryan Kalkbrenner,,,,8.0,,,,219.0,,,,,,,,,,,,0.828,10.8,,,basketball-reference
2025-26,Regular Season,,Bub Carrington,,,,8.0,,,,218.0,,,,,,,,,,,,0.438,13.5,,,basketball-reference
2025-26,Regular Season,,CJ McCollum,,,,8.0,,,,218.0,,,,,,,,,,,,0.447,21.2,,,basketball-reference
2025-26,Regular Season,,Giannis Antetokounmpo,,,,7.0,,,,218.0,,,,,,,,,,,,0.701,35.2,,,basketball-reference
2025-26,Regular Season,,Ben Sheppard,,,,8.0,,,,217.0,,,,,,,,,,,,0.466,13.8,,,basketball-reference
2025-26,Regular Season,,A.J. Green,,,,8.0,,,,216.0,,,,,,,,,,,,0.805,13.5,,,basketball-reference
2025-26,Regular Season,,Jock Landale,,,,9.0,,,,215.0,,,,,,,,,,,,0.711,15.5,,,basketball-reference
2025-26,Regular Season,,Shaedon Sharpe,,,,8.0,,,,214.0,,,,,,,,,,,,0.485,31.7,,,basketball-reference
2025-26,Regular Season,,Sam Hauser,,,,9.0,,,,212.0,,,,,,,,,,,,0.542,16.4,,,basketball-reference
2025-26,Regular Season,,Aaron Gordon,,,,7.0,,,,212.0,,,,,,,,,,,,0.712,22.4,,,basketball-reference
2025-26,Regular Season,,Jordan Poole,,,,7.0,,,,212.0,,,,,,,,,,,,0.535,25.5,,,basketball-reference
2025-26,Regular Season,,Jalen Duren,,,,8.0,,,,211.0,,,,,,,,,,,,0.683,23.6,,,basketball-reference
2025-26,Regular Season,,Collin Sexton,,,,8.0,,,,211.0,,,,,,,,,,,,0.648,24.5,,,basketball-reference
2025-26,Regular Season,,Anthony Black,,,,8.0,,,,209.0,,,,,,,,,,,,0.582,19.9,,,basketball-reference
2025-26,Regular Season,,Julian Champagnie,,,,7.0,,,,209.0,,,,,,,,,,,,0.541,12.8,,,basketball-reference
2025-26,Regular Season,,Harrison Barnes,,,,7.0,,,,208.0,,,,,,,,,,,,0.685,13.0,,,basketball-reference
2025-26,Regular Season,,Domantas Sabonis,,,,6.0,,,,208.0,,,,,,,,,,,,0.562,19.1,,,basketball-reference
2025-26,Regular Season,,Neemias Queta,,,,9.0,,,,206.0,,,,,,,,,,,,0.715,13.9,,,basketball-reference
2025-26,Regular Season,,Tre Jones,,,,7.0,,,,206.0,,,,,,,,,,,,0.607,16.1,,,basketball-reference
2025-26,Regular Season,,Jabari Smith Jr.,,,,6.0,,,,205.0,,,,,,,,,,,,0.601,16.6,,,basketball-reference
2025-26,Regular Season,,Tre Johnson,,,,8.0,,,,204.0,,,,,,,,,,,,0.541,19.8,,,basketball-reference
2025-26,Regular Season,,Matas Buzelis,,,,7.0,,,,203.0,,,,,,,,,,,,0.588,20.9,,,basketball-reference
2025-26,Regular Season,,Jeremiah Fears,,,,8.0,,,,202.0,,,,,,,,,,,,0.514,25.1,,,basketball-reference
2025-26,Regular Season,,Luke Kennard,,,,8.0,,,,202.0,,,,,,,,,,,,0.67,13.1,,,basketball-reference
2025-26,Regular Season,,Mark Williams,,,,8.0,,,,202.0,,,,,,,,,,,,0.611,17.5,,,basketball-reference
2025-26,Regular Season,,Marcus Smart,,,,7.0,,,,201.0,,,,,,,,,,,,0.561,17.2,,,basketball-reference
2025-26,Regular Season,,Kawhi Leonard,,,,6.0,,,,201.0,,,,,,,,,,,,0.625,27.8,,,basketball-reference
2025-26,Regular Season,,LaMelo Ball,,,,6.0,,,,200.0,,,,,,,,,,,,0.556,30.6,,,basketball-reference
2025-26,Regular Season,,Jaylon Tyson,,,,8.0,,,,199.0,,,,,,,,,,,,0.651,16.1,,,basketball-reference
2025-26,Regular Season,,Saddiq Bey,,,,8.0,,,,198.0,,,,,,,,,,,,0.592,17.1,,,basketball-reference
2025-26,Regular Season,,Isaiah Stewart,,,,8.0,,,,198.0,,,,,,,,,,,,0.569,18.0,,,basketball-reference
2025-26,Regular Season,,Donovan Clingan,,,,8.0,,,,197.0,,,,,,,,,,,,0.566,12.6,,,basketball-reference
2025-26,Regular Season,,Luka Dončić,,,,5.0,,,,195.0,,,,,,,,,,,,0.636,38.8,,,basketball-reference
2025-26,Regular Season,,Sion James,,,,8.0,,,,194.0,,,,,,,,,,,,0.837,10.0,,,basketball-reference
2025-26,Regular Season,,John Collins,,,,8.0,,,,193.0,,,,,,,,,,,,0.629,22.9,,,basketball-reference
2025-26,Regular Season,,Derrick Jones Jr.,,,,8.0,,,,193.0,,,,,,,,,,,,0.776,14.2,,,basketball-reference
2025-26,Regular Season,,Tobias Harris,,,,6.0,,,,193.0,,,,,,,,,,,,0.513,18.3,,,basketball-reference
2025-26,Regular Season,,Kris Dunn,,,,8.0,,,,191.0,,,,,,,,,,,,0.646,13.2,,,basketball-reference
2025-26,Regular Season,,Naji Marshall,,,,8.0,,,,189.0,,,,,,,,,,,,0.542,13.3,,,basketball-reference
2025-26,Regular Season,,Cameron Johnson,,,,7.0,,,,187.0,,,,,,,,,,,,0.498,14.6,,,basketball-reference
2025-26,Regular Season,,Naz Reid,,,,8.0,,,,183.0,,,,,,,,,,,,0.556,23.2,,,basketball-reference
2025-26,Regular Season,,D'Angelo Russell,,,,8.0,,,,182.0,,,,,,,,,,,,0.498,28.2,,,basketball-reference
2025-26,Regular Season,,Noah Clowney,,,,8.0,,,,181.0,,,,,,,,,,,,0.487,16.6,,,basketball-reference
2025-26,Regular Season,,Josh Minott,,,,8.0,,,,180.0,,,,,,,,,,,,0.574,16.0,,,basketball-reference
